,feature_name,marker_definition,parent_population,betas,p_1
40,P1:20259,27-28-31-244-RA-,DPT,-0.0,0.487758
41,P1:1654,28-95+127+244-RA-,CD4,0.0,0.914484
42,P4:3392,158a-,16+56,0.0,0.323814
43,P2:26071,25-38-39+127-DR+PD1+RO+,DPT,-0.0,0.0832407
44,P1:438,27+28-31-57-95+127+244-RA-,DPT,-0.0,0.0490635
45,P1:11690,31+127-244-RA+,CD8,-0.0,0.2287
46,P4:5600,CD2-314-334-158a+,56+16-,-0.0,0.651521
47,P2:715,25-38+39+73+127-DR+PD1-RO+,CD4,0.0,0.192327
48,P1:12837,27+28-31-127+RA+,CD8,0.0,0.365778
49,P2:6212,25-38+39-127-RO+,CD4,-0.0,0.747622
50,P7 Mono:5872,11c+16-32-64+123+141+DR+,Monocytes,-0.0,0.178029
51,P1:9949,27+28-31+57+95-127+244-,CD8,-0.0,0.140186
52,P2:9353,38-127+DR+PD1+RO-,CD8,-0.0,0.55967
53,P1:12696,27+31+95+RA+,CD8,-0.0,0.00401241
54,P1:24523,27-28-31+244-RA+,DPT,-0.0,0.932998
55,P3:8741,161-PD1+R6+R10+XR3+XR5+,CD8/Naive,0.0,0.488971
56,P1:22709,27+28+31-57+95+127+244-,DPT,0.0,0.764776
57,P2:25365,38-39-127-DR+RO+,DPT,0.0,0.226816
58,P5 gd:1341,27-R5-R7+,Vg9+/Vd2Hi,-0.0,0.0103058
59,P2:24042,25-38-39+73-DR+PD1+,DPT,-0.0,0.332505
60,P2:22800,25-38-39+73+127-DR-,DPT,-0.0,0.683307
61,P2:12524,127-RO+,CD8,-0.0,0.693007
62,P4:579,334-337+158a+158b-R7-,16+56-,-0.0,0.183229
63,P2:23510,25+38+39+127-DR-PD1+,DPT,-0.0,0.726454
64,P3:963,161+R4+R6+R10+XR5-,CD4/Memory,0.0,0.348524
65,P3:5492,PD1+R4-R10+XR3-,CD8/Memory,-0.0,0.189239
66,P7 Mono:4334,11c+16-32+64+123-141+274+,Monocytes,-0.0,0.741186
67,P4:5863,CD2+314-334+158a+158b+,56+16-,-0.0,0.90116
68,P5 gd:1405,27-28-R7+,Vg9+/Vd2Hi,0.0,0.307459
69,P1:78,27+28-31+57-95+127-244+RA+,DPT,-0.0,0.390229
70,P1:24733,28-31-127+244-RA+,DPT,-0.0,0.938109
71,P2:21302,39+127+DR+RO-,DPT,-0.0,0.486373
72,P2:21853,25-38-39-73-DR+PD1+RO-,DPT,0.0,0.604701
73,P1:935,27-28-31+57+95-127-244-RA-,CD8,-0.0,0.458862
74,P4:5797,CD2+314+334-337+158b+,56+16-,-0.0,0.235536
75,P3:4238,PD1+R4-R6+R10-XR5+,CD4/Naive,-0.0,0.482171
76,P7 Mono:7,11c+16+32-64-123-141-274-DR-,Monocytes,0.0,0.180667
77,P1:12521,28-95-RA+,CD8,0.0,0.287881
78,P6:3,20+24+27-38-,B cells/CD10-/CD95+/IgA,0.0,0.90088
79,P2:20247,25-38+73-PD1-RO-,DPT,-0.0,0.398099
80,P4:4762,CD2-334+158a-R7-,56+16-,-0.0,0.165768
81,P1:4833,27-31+95-244+,CD4,0.0,0.27446
82,P3:6685,PD1-R4+R6+R10+XR3+XR5+,CD8/Memory,0.0,0.510167
83,P1:9116,28-31+57-95+244+RA-,CD8,-0.0,0.602404
84,P3:8202,161+PD1+R4+XR3-XR5+,CD8/Naive,-0.0,0.573845
85,P7 Mono:1474,11c-64+123-141+DR-,Monocytes,-0.0,0.656661
86,P1:7538,31+57+95+127-244-RA-,CD8,-0.0,0.0617438
87,P4:6070,CD2+314+334-158a+158b-R7+,56+16-,0.0,0.453012
88,P2:21328,25-39+73+127+DR+RO-,DPT,-0.0,0.642736
89,P2:6349,25+38+39-73-127+RO+,CD4,0.0,0.762133
90,P2:23994,25-38+39+127-DR+PD1+,DPT,-0.0,0.15527
91,P2:20915,73+127-RO-,DPT,-0.0,0.213233
92,P2:23902,127+PD1+,DPT,0.0,0.327251
93,P1:21060,27+31+95+RA-,DPT,-0.0,0.1988
94,P5 gd:1356,27+28+R5-R7+,Vg9+/Vd2Hi,-0.0,0.485903
95,P1:258,27-28-31-57-95-127-244-RA-,DPT,-0.0,0.213934
96,P1:24145,95+127+244+,DPT,0.0,0.155499
97,P2:11548,25+38+39+127+DR+PD1+,CD8,-0.0,0.0917726
98,P7 Mono:6290,11c+16-32+64-123+274+DR+,Monocytes,-0.0,0.219982
99,P4:5546,CD2-314-334-337+,56+16-,0.0,0.40569
100,P1:8280,27-28+95-RA-,CD8,0.0,0.144388
101,P7 Mono:4352,11c+16-64-141+274+,Monocytes,-0.0,0.0350411
102,P3:5764,161-PD1-R6+R10+,CD8/Memory,-0.0,0.779944
103,P2:25004,25-38-39+73+DR-RO+,DPT,-0.0,0.272759
104,P2:4295,25+39+73+127+,CD4,-0.0,0.579167
105,P6 earlyB:21,24-27+5-38-D+,IgA-IgG-,-0.0,0.446798
106,P1:21125,28+31-95-127+RA-,DPT,0.0,0.584587
107,P1:12938,31+95+127+RA+,CD8,-0.0,0.0625887
108,P4:3730,CD2-314-334-337+158b+,16+56,0.0,0.0656299
109,P2:8988,25+38+39+127-PD1+RO-,CD8,-0.0,0.00847861
110,P1:9926,27-28+31+95-127+244-,CD8,0.0,0.336911
111,P1:25895,27+31+57-244+RA+,DPT,0.0,0.609706
112,P1:21282,27+28-31-95+127+RA-,DPT,-0.0,0.292955
113,P2:805,25+38-39+73+127+DR-PD1-RO-,CD4,-0.0,0.154114
114,P1:574,27-28-31+57-95+127+244+RA-,CD4,-0.0,0.528534
115,P2:23934,25-38-39+73+127+PD1+,DPT,0.0,0.676064
116,P1:8685,27-28+95+127+RA-,CD8,0.0,0.760338
117,P3:5528,PD1+R6+R10+XR3-,CD8/Memory,-0.0,0.432603
118,P2:24139,38+39-127+DR+PD1+,DPT,-0.0,0.0171736
119,P5 gd:475,8+27+RA+R5-,CD3 T/VD1,0.0,0.0559845
120,P1:25751,27-28+31-95+127-244+RA+,DPT,0.0,0.221307
121,P1:23048,27+31+57+95-,DPT,-0.0,0.924192
122,P1:21820,95-127+244+RA-,DPT,0.0,0.0304465
123,P2:25886,25+73-PD1+RO+,DPT,0.0,0.329657
124,P2:24903,38+39+127-DR-RO+,DPT,-0.0,0.256956
125,P7 Mono:4431,11c-16-64-123+141+274+,Monocytes,-0.0,0.997776
126,P4:3577,CD2-314-337+158a+,16+56,-0.0,0.267336
127,P1:4087,31-95-,CD4,-0.0,0.947869
128,P3:8643,XR3+XR5+,CD8/Naive,-0.0,0.523892
129,P2:9365,39+127+DR+PD1+RO-,CD8,-0.0,0.72782
130,P1:24288,28-127-244-RA+,DPT,0.0,0.860839
131,P2:25143,39+127-RO+,DPT,-0.0,0.0173264
132,P1:21766,27+31-57+95+244+RA-,DPT,0.0,0.108271
133,P2:21286,25-38+39-127+DR+RO-,DPT,-0.0,0.109814
134,P1:23335,127+,DPT,-0.0,0.812237
135,P7 Mono:850,11c+16-32+64+141+274-DR-,Monocytes,-0.0,0.664113
136,P7 Mono:4494,11c-16-32+64+123+141+274+,Monocytes,0.0,0.416492
137,P2:25724,38+39+73+DR-PD1+RO+,DPT,0.0,0.485054
138,P2:21992,38+73+127+DR+PD1+RO-,DPT,0.0,0.309994
139,P2:21522,25+39+127+DR-PD1+RO-,DPT,-0.0,0.147698
140,P2:732,25+38-39-73+127+DR+PD1+RO+,CD8,0.0,0.416021
141,P7 Mono:6556,11c+16+64+123+141+274+DR+,Monocytes,-0.0,0.0746258
142,P1:402,27+28-31+57+95-127+244+RA+,DPT,0.0,0.754407
143,P4:528,CD2-314+334+337+158b-R7-,16+56-,-0.0,0.171103
144,P1:21577,27+31-95-244+RA-,DPT,-0.0,0.897315
145,P4:6053,CD2+337-158a+158b-R7+,56+16-,0.0,0.536061
146,P7 Mono:4257,11c-16+32+64+123+274+,Monocytes,0.0,0.998122
147,P1:19980,27-31+95-127-244-RA-,DPT,-0.0,0.701175
148,P5 CD8:67,27-28+R7-,CD8,-0.0,0.290787
149,P5 CD8:29,27-28-RA-R5-R7+,CD8,0.0,0.753837
150,P5 gd:2167,27+28+R5+R7+,Vg9+/Vd2Low,-0.0,0.317615
151,P1:20298,27-57+244-RA-,DPT,-0.0,0.405369
152,P2:26086,38-73+127-DR+PD1+RO+,DPT,-0.0,0.571032
153,P1:22465,28+31-57+95+244-,DPT,-0.0,0.734606
154,P1:23640,27-31+57-95+127-244+,DPT,-0.0,0.141418
155,MFI:575,CD8 QD585,Lymphs/T cells/CD8/95,0.0,0.466053
156,P1:966,27-28+31+57+95-127+244-RA-,CD4,0.0,0.4773
157,P7 Mono:6278,11c+16+32-64-123+274+DR+,Monocytes,-0.0,0.842867
158,P4:6242,CD2+314+334+R7+,56+16-,0.0,0.0472365
159,P1:21604,27+31-57+95-244+RA-,DPT,0.0,0.125234
160,P6:154,20+27-,CD10-/CD95+/IgA-IgG-/IgM+,0.0,0.492682
161,P1:4034,27+31-57+95+127-,CD4,-0.0,0.879376
162,P5 CD8:25,27+28+RA+R5+R7+,CD8,0.0,0.0107379
163,P1:20270,27+28-244-RA-,DPT,-0.0,0.152073
164,P2:8332,73-RO-,CD8,-0.0,0.285874
165,P7 Mono:5004,11c-32-64+123-141+274-DR+,Monocytes,-0.0,0.410269
166,P2:9749,25-38-PD1-,CD8,0.0,0.451524
167,P2:20997,25+73+RO-,DPT,-0.0,0.0277687
168,P5 CD8:72,27+28-RA+R7-,CD8,0.0,0.563446
169,P2:25291,25+38+39-127+RO+,DPT,-0.0,0.0136806
170,P1:11079,28+57+95+127-244+,CD8,-0.0,0.626234
171,P1:7951,27+28-31-95+127+244-RA-,CD8,-0.0,0.197959
172,P1:20886,27+28-95-RA-,DPT,-0.0,0.962863
173,P5 gd:1315,8+28-RA-R5-R7+,Vg9+/Vd2Hi,0.0,0.378416
174,P2:21054,25+38+127+RO-,DPT,-0.0,0.218623
175,P2:23006,25+38+39-127-,DPT,-0.0,0.348601
176,P1:24695,57+95-127+244-RA+,DPT,-0.0,0.248547
177,P1:22231,28+57+95+127-244-,DPT,-0.0,0.000971852
178,P2:23070,25-38-39+73-,DPT,-0.0,0.198681
179,P5 gd:709,28+RA+R5-R7+,CD3 T/VD1,0.0,0.0532905
180,P2:21276,25+39+73-127+DR+RO-,DPT,-0.0,0.966845
181,P3:8445,161-PD1+R6+XR5+,CD8/Naive,-0.0,0.485507
182,P1:20893,27-28-31+95-RA-,DPT,0.0,0.459795
183,P4:4190,CD2-314+334-337+R7+,16+56,-0.0,0.779263
184,P3:8228,PD1+R4+R6+XR3-XR5+,CD8/Naive,-0.0,0.339135
185,P7 Mono:584,11c+16+32-274-DR-,Monocytes,0.0,0.82814
186,P2:24257,25-38+39-73-DR-PD1-RO+,DPT,-0.0,0.352137
187,P3:6624,161+PD1+R4+R6+XR3+XR5+,CD8/Memory,0.0,0.641676
188,P3:5656,161-PD1-,CD8/Memory,-0.0,0.992797
189,P1:13422,28+31+57+95+244+RA+,CD8,-0.0,0.419386
190,P2:21613,25+73+127-PD1+RO-,DPT,-0.0,0.233277
191,P1:12859,27-28+31+127+RA+,CD8,-0.0,0.963274
192,P5 gd:792,8+27+28+RA+R7+,CD3 T/VD1,0.0,0.0673211
193,P1:169,27-28-31-57+95+127-244-RA+,CD8,-0.0,0.375201
194,P2:24437,127-PD1-RO+,DPT,-0.0,0.35358
195,P1:26012,27+31-57+95+244+RA+,DPT,-0.0,0.610926
196,P7 Mono:729,16+32+64-123-141+274-DR-,Monocytes,-0.0,0.064963
197,P4:2348,CD2+334+158b+R7+,16+56-,0.0,0.322486
198,P1:417,27+28+31+57+95-127-244+RA-,DPT,-0.0,0.845153
199,P1:24991,27+31-57+127-RA+,DPT,-0.0,0.718921
200,P1:1970,28-95-RA-,CD4,0.0,0.680659
201,P4:6540,CD2-314+334+158a+158b+R7+,56+16-,-0.0,0.0575857
202,P5 gd:1270,8-R5+,Vg9+/Vd2Hi,0.0,0.248242
203,P1:21166,27-31+57+95-127+RA-,DPT,0.0,0.858857
204,P7 Mono:3702,11c-16-64-123+141+,Monocytes,-0.0,0.471388
205,P1:22107,27-28-31-127-244-,DPT,0.0,0.974017
206,P2:281,25-38-39+73-127-DR+PD1-RO+,DPT,-0.0,0.786232
207,P7 Mono:73,11c+16+32-64-123-141+274-DR+,Monocytes,-0.0,0.0762402
208,P7 Mono:611,11c+16+32-64+274-DR-,Monocytes,-0.0,0.442909
209,P5 gd:48,8+27-28-RA-R5+R7-,Vg9+/Vd2Hi,0.0,0.471134
210,P2:21786,38+39+73+127+PD1+RO-,DPT,-0.0,0.127138
211,P2:23205,25-38-39+73+127+,DPT,-0.0,0.185154
212,P4:4688,CD2+314-334+158a+158b-R7-,56+16-,-0.0,0.236275
213,P6 earlyB:187,24-38-D+,IgA-IgG-,-0.0,0.558817
214,P1:4037,27+28+31-57+95+127-,CD4,0.0,0.843566
215,P5 gd:1786,27+28+R5-,Vg9+/Vd2Low,-0.0,0.809695
216,P1:22226,27+28-57+95+127-244-,DPT,-0.0,0.684577
217,P4:1884,158b-R7+,16+56-,-0.0,0.0662968
218,P1:24386,27-57+95+127-244-RA+,DPT,0.0,0.803367
219,P2:21364,25+38-127-DR-PD1+RO-,DPT,-0.0,0.0908231
220,P3:2031,161+R4-R6+XR3-XR5+,CD4/Memory,0.0,0.907219
221,P3:2347,R6+R10+XR5+,CD4/Memory,-0.0,0.812598
222,P1:3,27+28+31+57-95-127+244-RA+,DPT,0.0,0.384514
223,P1:13593,31-95+127+244+RA+,CD8,-0.0,0.849042
224,P1:9242,28+31+57+95-127+244+RA-,CD8,0.0,0.487469
225,P1:5455,28-31+95+127-244-RA+,CD4,-0.0,0.257691
226,P3:842,PD1-XR5-,CD4/Memory,-0.0,0.338242
227,P2:20573,25+127+DR+PD1-RO-,DPT,-0.0,0.91423
228,P1:26194,28-31+57-95+127+244+RA+,DPT,-0.0,0.971548
229,P5 gd:71,8+27-28-RA-R5+R7+,Vg9+/Vd2Hi,-0.0,0.414184
230,P2:263,25+38+39-73-127-DR-PD1-RO+,DPT,-0.0,0.222792
231,P2:801,25+38+39+73-127-DR-PD1+RO+,CD4,-0.0,0.201283
232,P2:360,25-38+39-73+127+DR+PD1+RO+,DPT,-0.0,0.645103
233,P2:25802,25+38-73-127-PD1+RO+,DPT,0.0,0.38453
234,P1:868,27-28+31+57+95-127-244+RA+,CD8,0.0,0.949267
235,P2:21583,25+38-127-PD1+RO-,DPT,-0.0,0.0908231
236,P1:20350,28-95+244-RA-,DPT,-0.0,0.615577
237,P2:9467,25-38+39+73+127-DR-PD1-,CD8,-0.0,0.25503
238,P2:21309,25+38-39-73+127+DR+RO-,DPT,-0.0,0.278178
239,P2:23181,25-39+127+,DPT,-0.0,0.334992
240,P2:22259,25+38+73-127-PD1-,DPT,-0.0,0.0554738
241,P5 gd:151,8+27+28+RA-R5-R7+,Vg9+/Vd2Hi,-0.0,0.608931
242,P2:25171,25+39+73+127-RO+,DPT,-0.0,0.349522
243,P1:69,27+28-31+57-95+127-244+RA+,CD8,-0.0,0.0414991
244,P1:22159,28+31+57+127-244-,DPT,-0.0,0.0108913
245,P5 CD8:239,28-RA+R5+R7+,CD8,0.0,0.59641
246,P2:24720,25-38+73-DR+PD1-RO+,DPT,-0.0,0.0982314
247,P7 Mono:6213,11c-16+32+64-274+DR+,Monocytes,-0.0,0.289613
248,P2:21811,39-127-DR+PD1+RO-,DPT,0.0,0.296201
249,P2:23140,38+39-73-127+,DPT,-0.0,0.0796554
250,P1:8687,27+28+95+127+RA-,CD8,-0.0,0.179903
251,P1:24138,27-28+31-95+127+244+,DPT,0.0,0.182411
252,P2:22095,25-38+73-DR-PD1-,DPT,-0.0,0.227738
253,P1:8178,27-31+57-95+127-RA-,CD8,-0.0,0.582891
254,P1:24188,31-57-95-127-244-RA+,DPT,-0.0,0.956012
255,P2:26042,25-73-127-DR+PD1+RO+,DPT,-0.0,0.116976
256,P1:11039,27-31-95+127-244+,CD8,0.0,0.407627
257,P5 gd:2039,28+RA+R5-R7+,Vg9+/Vd2Low,-0.0,0.131675
258,P2:21550,25+39-73-127-PD1+RO-,DPT,-0.0,0.768894
259,P1:25768,27+31+95+127-244+RA+,DPT,-0.0,0.485434
260,P3:8601,161+R4+R6+R10-XR3+XR5+,CD8/Naive,-0.0,0.0848633
261,P2:26200,38-39-127+DR+PD1+RO+,DPT,0.0,0.960247
262,P7 Mono:4215,11c-16-123+274+,Monocytes,-0.0,0.404274
263,P1:25163,27-28+57+95-RA+,DPT,0.0,0.234034
264,P7:5,32-64+274-,14-/mDC/XPres,-0.0,0.5328
265,P2:3970,39+73+DR-,CD4,0.0,0.843915
266,P2:25789,25+39+73+127+DR-PD1+RO+,DPT,-0.0,0.596882
267,P1:20858,28-57-95-RA-,DPT,-0.0,0.286651
268,P1:12845,28-127+RA+,CD8,0.0,0.207672
269,P3:7124,PD1+R4-R6+R10+XR5-,CD8/Naive,-0.0,0.542043
270,P2:5177,25+73+DR+PD1+,CD4,0.0,0.26526
271,P6:32,20-24-27-38-,B cells/CD10-/CD95+/IgG+,-0.0,0.972329
272,P3:3866,161+PD1+R4-R6+XR3+,CD4/Naive,-0.0,0.0659565
273,P2:644,25-38+39+73-127-DR-PD1+RO-,CD4,-0.0,0.452248
274,P1:2255,28+31+57+95-127+RA-,CD4,0.0,0.614165
275,P1:20305,28-31+57+244-RA-,DPT,-0.0,0.211699
276,P2:25181,25-38+39-73-RO+,DPT,0.0,0.965754
277,P1:2054,RA-,CD4,0.0,0.953029
278,P2:8556,25-39+73+127-DR+RO-,CD8,-0.0,0.13067
279,P4:3804,CD2+314-334+158a+158b+,16+56,-0.0,0.237407
280,P7 Mono:3657,11c-16-32+141+,Monocytes,-0.0,0.651829
281,P2:4114,39-73+127-,CD4,-0.0,0.558293
282,P1:91,27-28+31-57-95+127+244+RA-,DPT,0.0,0.392702
283,P1:25613,27+95-127-244+RA+,DPT,0.0,0.43246
284,P1:13392,31+95+244+RA+,CD8,-0.0,0.19126
285,P3:469,161+PD1+R4-R6-R10+XR3-XR5+,CD8/Memory,-0.0,0.163847
286,P3:7513,161+R4+R6+XR3-,CD8/Naive,-0.0,0.552929
287,P1:4968,27-31+57-95+244+,CD4,-0.0,0.166756
288,P1:366,27-28+31-57-95-127+244+RA-,DPT,0.0,0.127397
289,P5 gd:588,28+RA-R5+,CD3 T/VD1,-0.0,0.647215
290,P1:11498,27-31-57-95+127+244+,CD8,0.0,0.513387
291,P5 gd:429,27+28+RA-R5-,CD3 T/VD1,0.0,0.0854679
292,P2:2635,25+39-73-127-PD1+RO-,CD4,-0.0,0.651142
293,P2:4057,38-39-73-127-,CD4,0.0,0.959975
294,P1:7051,57-95+244+RA+,CD4,-0.0,0.627
295,P1:3883,28+57+95-127-,CD4,-0.0,0.778162
296,P7 Mono:74,11c+16+32+64+123-141+274+DR-,Monocytes,-0.0,0.799081
297,P3:4533,161-R4+XR3+XR5+,CD4/Naive,0.0,0.28336
298,P2:25988,25+38+39-127+PD1+RO+,DPT,-0.0,0.333897
299,P3:3873,161-PD1+R6+XR3+,CD4/Naive,0.0,0.185974
300,P7 Mono:6114,11c-16+32-64-123-274+DR+,Monocytes,-0.0,0.113408
301,P2:10407,38-39+127-,CD8,-0.0,0.218014
302,P2:503,25+38-39+73-127-DR-PD1+RO-,DPT,-0.0,0.162799
303,P5 gd:492,27+28-RA-,CD3 T/VD1,0.0,0.0150575
304,P3:3892,PD1+R4-R6-R10+XR3+,CD4/Naive,-0.0,0.524632
305,P2:10731,38-39+DR+,CD8,-0.0,0.550484
306,P4:3325,CD2-314-334-337+158a+158b-,16+56,-0.0,0.169267
307,P7 Mono:751,11c-32+123-141+274-DR-,Monocytes,-0.0,0.829428
308,P1:934,27-28+31+57+95-127+244+RA+,CD4,-0.0,0.984472
309,P2:22967,25+39+73+127+DR-,DPT,-0.0,0.0943112
310,P4:935,334-158b+R7-,16+56-,-0.0,0.288382
311,P3:5931,161+R6+XR3+,CD8/Memory,0.0,0.145579
312,P5 gd:1436,8+28-RA+R7+,Vg9+/Vd2Hi,0.0,0.19798
313,P1:24699,27+28+57+95-127+244-RA+,DPT,-0.0,0.235148
314,P1:24290,27-127-244-RA+,DPT,0.0,0.691818
315,P2:13612,25+39+127+DR+PD1+RO+,CD8,-0.0,0.165678
316,P5 NKT:121,27+R7+,4-8-,-0.0,0.380434
317,P2:520,25+38-39-73-127+DR+PD1-RO+,CD8,-0.0,0.585451
318,P2:24226,25-39+127-DR-PD1-RO+,DPT,-0.0,0.139213
319,P7 Mono:4933,11c-32-64+123+274-DR+,Monocytes,-0.0,0.00923612
320,P1:20203,28+31+95-244-RA-,DPT,0.0,0.579046
321,P2:352,25+38-39-73+127+DR+PD1+RO+,DPT,0.0,0.240806
322,P2:26144,25-38-39+DR+PD1+RO+,DPT,-0.0,0.0385385
323,P4:989,314+334-337-158a+158b+R7-,16+56-,-0.0,0.975662
324,P2:26218,38-39+127+DR+PD1+RO+,DPT,-0.0,0.365495
325,P4:1823,314+334+158a-158b-R7+,16+56-,0.0,0.966466
326,P2:25221,38-39+RO+,DPT,-0.0,0.0408391
327,P7 Mono:2075,11c-16+32+123+274+DR-,Monocytes,-0.0,0.834985
328,P2:13260,38+39+73+127-PD1+RO+,CD8,-0.0,0.53071
329,P1:24588,27+28-31-95+244-RA+,DPT,-0.0,0.115479
330,P1:25155,28+31-57+95-RA+,DPT,-0.0,0.180963
331,P1:24315,28-57+127-244-RA+,DPT,-0.0,0.955095
332,P7:76,32+64+274+,14-/PDC,-0.0,0.61939
333,P1:12594,27+28-31-RA+,CD8,0.0,0.684346
334,P5 gd:22,8-27-28-RA+R5+R7-,Vg9+/Vd2Hi,0.0,0.47298
335,P2:9698,25-73+127-PD1-,CD8,0.0,0.717383
336,P1:646,27+28+31-57+95+127-244-RA-,CD4,0.0,0.809843
337,P1:7141,27-31-95-127+244+RA+,CD4,0.0,0.154928
338,P4:3174,CD2+314-337+158a-158b-,16+56,-0.0,0.084293
339,P2:424,25+38-39-73-127+DR+PD1-RO-,DPT,0.0,0.651476
340,P3:8747,161+R4+R6+R10+XR3+XR5+,CD8/Naive,-0.0,0.518847
341,P6 earlyB:20,24-27+5+38+D-,IgA-IgG-,-0.0,0.308288
342,P2:26187,25+38-73-127+DR+PD1+RO+,DPT,0.0,0.976979
343,P2:13422,38+39+73+127+PD1+RO+,CD8,0.0,0.935294
344,P2:11448,38+39-DR+PD1+,CD8,-0.0,0.225
345,P2:1976,38+127-RO-,CD4,-0.0,0.585044
346,P4:5490,314+334+337+158a-,56+16-,-0.0,0.0128947
347,P7 Mono:5729,11c-32+64+123-141+DR+,Monocytes,-0.0,0.682352
348,P7 Mono:2820,11c-16-32+64-123-141+274-,Monocytes,0.0,0.17576
349,P3:3854,161+R4+XR3+,CD4/Naive,0.0,0.357331
350,P2:24229,25-38+39+127-DR-PD1-RO+,DPT,-0.0,0.208746
351,P5 gd:956,8-27+28-R7-,Vg9+/Vd2Hi,0.0,0.951494
352,P3:8446,PD1+R6+XR5+,CD8/Naive,-0.0,0.462496
353,P1:7146,27+28+31-95-127+244+RA+,CD4,0.0,0.707486
354,P3:3901,PD1+R6-R10+XR3+,CD4/Naive,-0.0,0.840025
355,P7 Mono:3552,11c-32+64-123-141+,Monocytes,0.0,0.475171
356,P5 gd:795,28-RA-R5+R7+,CD3 T/VD1,0.0,0.792047
357,P1:7676,27-28-31-57+244-RA-,CD8,0.0,0.97127
358,P7 Mono:6548,11c-16-64+123+141+274+DR+,Monocytes,0.0,0.275934
359,P1:9994,27+28-127+244-,CD8,0.0,0.130074
360,P1:6866,57+95+127-244+RA+,CD4,0.0,0.127584
361,P1:23154,27-31+57-95+,DPT,-0.0,0.435831
362,P2:22430,25+38+39+73-127+PD1-,DPT,-0.0,0.667001
363,P1:7371,31+95-127-244-RA-,CD8,0.0,0.681153
364,P1:20781,27+57-95+127-RA-,DPT,-0.0,0.03119
365,P7 Mono:88,11c-16+32-64-123-141-274-DR+,Monocytes,-0.0,0.130797
366,P2:1736,38-39+127-DR-RO-,CD4,-0.0,0.59007
367,P2:11917,39+PD1-RO+,CD8,-0.0,0.263396
368,P2:10742,25-39-73+DR+,CD8,0.0,0.962184
369,P1:9671,27-95-244-,CD8,0.0,0.389983
370,P1:382,27-28+31-57+95+127+244-RA-,CD4,-0.0,0.313539
371,P1:22008,27-28-57-95-127-244-,DPT,-0.0,0.610589
372,P5 gd:2118,28+RA+R7+,Vg9+/Vd2Low,-0.0,0.160436
373,P1:23536,28+31+57+95-127-244+,DPT,-0.0,0.784106
374,P4:5520,314-334-,56+16-,0.0,0.250428
375,P2:11086,25+39+73+127+DR-PD1+,CD8,-0.0,0.772446
