,phenotype_id,counts,marker_definition,parent_population
61,MFI:598,2,CD3 H7 APC,Lymphs/T cells/DNT/27
62,MFI:58,2,*CD123 PE,Lin-DR+/14-/11c+123+
63,MFI:89,2,CD123 PE,Lin-DR+/14-/mDC/1c-/16+/CD32
64,MFI:7,2,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD32
65,MFI:674,2,CD8 QD585,Lymphs/T cells/DPT/PD1
66,MFI:671,2,CD4 QD605,Lymphs/T cells/DPT/DR
67,MFI:670,2,CD8 QD585,Lymphs/T cells/DPT/DR
68,MFI:116,2,HLA-DR Ax680,Lin-DR+/14-/mDC/XPres/CD32
69,MFI:658,2,CD8 QD585,Lymphs/T cells/DPT/57
70,MFI:629,2,CD244 Cy55 PE,Lymphs/T cells/DPT/244
71,MFI:129,2,HLA-DR Ax680,Lin-DR+/14-/PDC/CD32
72,MFI:605,2,CD39 Cy7 PE,Lymphs/T cells/DNT/39
73,MFI:476,2,CD16 BV421,Lymphs/nonT/NK/16+56/R7
74,MFI:55,2,CD64 TRPE,Lin-DR+/14-/11c+ (nodim)/XPres/CD64
75,MFI:546,2,CD244 Cy55 PE,Lymphs/T cells/CD8/244
76,MFI:524,2,CD3 BV785,Lymphs/T cells/CD4/73
77,MFI:160,2,CD20 BV605,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/20+
78,MFI:191,2,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgA/27+
79,MFI:447,2,CD335 Cy5 PE,Lymphs/nonT/NK/16+56-/335
80,MFI:136,1,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgAGDM-/20+
81,MFI:193,1,CD24 Cy7 PE,Lymphs/B cells/CD10-/CD95+/IgA/27+
82,MFI:253,1,CD3 Ax594,Lymphs/CD3 T/CD4/Naive/161
83,MFI:155,1,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/20+
84,MFI:120,1,HLA-DR Ax680,Lin-DR+/14-/mDC/XPres/CD64
85,MFI:12,1,CD11c Cy5 PE,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD64
86,MFI:284,1,CD8 QD585,Lymphs/CD3 T/CD8/Memory/PD1
87,MFI:161,1,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/24+
88,MFI:313,1,CD8 QD585,Lymphs/CD3 T/CD8/Naive/R6
89,MFI:197,1,CD95 y5 PE,Lymphs/B cells/CD10-/CD95+/IgA/38+
90,MFI:519,1,CD3 H7 APC,Lymphs/T cells/CD4/57
91,MFI:314,1,CCR6 BV605,Lymphs/CD3 T/CD8/Naive/R6
92,MFI:485,1,CD56 BV570,Lymphs/nonT/NK/56+16-/337
93,MFI:333,1,CD3 BV785,Lymphs/CD3 T/NKT/4-8-/28
94,MFI:359,1,CD3 BV785,Lymphs/CD3 T/NKT/4+R5-/28
95,MFI:669,1,HLA-DR Ax680,Lymphs/T cells/DPT/DR
96,MFI:655,1,CD4 QD605,Lymphs/T cells/DPT/39
97,MFI:645,1,CD31 Cy7 PE,Lymphs/T cells/DPT/31
98,MFI:614,1,CD3 BV785,Lymphs/T cells/DNT/DR
99,MFI:587,1,CD3 BV785,Lymphs/T cells/CD8/RO
100,MFI:574,1,CD3 H7 APC,Lymphs/T cells/CD8/95
101,MFI:565,1,CD8 QD585,Lymphs/T cells/CD8/39
102,MFI:551,1,CD3 BV785,Lymphs/T cells/CD8/25
103,MFI:501,1,CD25 Cy5 PE,Lymphs/T cells/CD4/25
104,MFI:499,1,CD3 H7 APC,Lymphs/T cells/CD4/244
105,MFI:489,1,CD56 BV570,Lymphs/nonT/NK/56+16-/CD158b
106,MFI:477,1,CD56 BV570,Lymphs/nonT/NK/16+56/R7
107,MFI:317,1,CD8 QD585,Lymphs/CD3 T/CD8/Naive/XR3
108,MFI:467,1,CD16 BV421,Lymphs/nonT/NK/16+56/337
109,MFI:426,1,CD3 BV785,Lymphs/CD3 T/Vg9+/Vd2Low/8
110,MFI:425,1,CD8 QD585,Lymphs/CD3 T/Vg9+/Vd2Low/8
111,MFI:428,1,CCR5 Cy7 APC,Lymphs/CD3 T/Vg9+/Vd2Low/R5
112,MFI:406,1,TCR-Vdelta2 Ax594,Lymphs/CD3 T/Vg9+/Vd2Hi/8
113,MFI:377,1,CD3 BV785,Lymphs/CD3 T/NKT/4+R5/R7
114,MFI:372,1,CD4 QD605,Lymphs/CD3 T/NKT/4+R5/28
115,MFI:367,1,CD4 QD605,Lymphs/CD3 T/NKT/4+R5/27
116,MFI:358,1,CD4 QD605,Lymphs/CD3 T/NKT/4+R5-/28
117,MFI:343,1,CD8 QD585,Lymphs/CD3 T/NKT/4-8/28
118,MFI:334,1,CCR7 Ax680,Lymphs/CD3 T/NKT/4-8-/R7
119,MFI:321,1,CCR5 Cy7 APC,Lymphs/CD3 T/CD8/R5
120,MFI:319,1,CXCR5 Ax647,Lymphs/CD3 T/CD8/Naive/XR5
121,MFI:415,1,TCR-Vdelta2 Ax594,Lymphs/CD3 T/Vg9+/Vd2Hi/RA
