,Trait ID
570,P4:5361
571,P4:1741
572,P4:5600
573,P4:5573
574,P4:4880
575,P4:1020
576,P4:5369
577,P4:4907
578,P4:5342
579,P4:6283
580,P4:6282
581,P4:6309
582,P4:1732
583,P4:1011
584,P4:1705
585,P4:989
586,P4:5589
587,P4:5616
588,P4:5581
589,P4:799
590,P4:1496
591,P4:4892
592,P4:772
593,P4:4919
594,P4:1469
595,P4:5344
596,P4:5608
597,P4:4884
598,P4:4659
599,P4:789
600,P4:762
601,P4:6307
602,P4:6280
603,P4:2834
604,P4:3531
605,P4:2861
606,P4:3558
607,P4:5335
608,P4:1486
609,P4:4911
610,P4:1459
611,P4:5612
612,P4:6074
613,P4:6051
614,P4:5362
615,P4:5585
616,P4:5371
617,P4:4652
618,P4:6052
619,P4:6306
620,P4:6279
621,P4:1712
622,P4:4682
623,P4:4673
624,P4:995
625,P4:1739
626,P4:5580
627,P4:1018
628,P4:1729
629,P4:1008
630,P4:1702
631,P4:987
632,P4:5607
633,P4:4883
634,P4:1715
635,P4:4658
636,P4:4910
637,P4:1711
638,P4:998
639,P4:994
640,P4:4651
641,P4:1742
642,P4:6072
643,P4:6049
644,P4:4672
645,P4:1021
646,P4:5347
647,P4:6071
648,P4:6048
649,P4:5360
650,P4:5333
651,P4:5338
652,P4:4662
653,P4:1730
654,P4:1009
655,P4:1703
656,P4:988
657,P4:3314
658,P4:2625
659,P4:3287
660,P4:2602
661,P4:5365
662,P4:41
663,P4:5374
664,P4:4676
665,P4:2616
666,P4:3305
667,P4:2594
668,P4:3278
669,P4:4685
670,P4:5603
671,P4:5576
672,P4:5346
673,P4:2623
674,P4:3312
675,P4:2600
676,P4:5337
677,P4:3285
678,P4:5373
679,P4:5364
680,P4:4653
681,P4:4675
682,P4:4661
683,P4:4684
684,P4:4915
685,P4:4888
686,P4:4906
687,P4:4879
688,P4:5615
689,P4:5588
690,P4:4918
691,P4:4891
692,P4:3303
693,P4:2614
694,P4:3276
695,P4:2593
696,P4:4671
697,P4:4650
698,P4:4680
699,P4:4657
700,P4:2626
701,P4:3315
702,P4:5606
703,P4:5579
704,P4:2603
705,P4:3288
706,P4:4909
707,P4:4882
708,P4:6066
709,P4:6045
710,P4:6065
711,P4:6044
712,P4:6300
713,P4:6273
714,P4:6301
715,P4:6274
716,P4:1487
717,P4:790
718,P4:1460
719,P4:763
720,P4:6298
721,P4:6271
722,P4:6062
723,P4:72
724,P4:6063
725,P4:6043
726,P4:6297
727,P4:6270
728,P4:5363
729,P4:5372
730,P4:5336
731,P4:4674
732,P4:52
733,P4:5345
734,P4:1014
735,P4:991
736,P4:1735
737,P4:1708
738,P4:4683
739,P4:4660
740,P4:3306
741,P4:2617
742,P4:3279
743,P4:21
744,P4:804
745,P4:777
746,P4:1501
747,P4:1474
748,P4:794
749,P4:767
750,P4:1491
751,P4:1464
752,P4:1502
753,P4:805
754,P4:1475
755,P4:778
756,P4:768
757,P4:795
758,P4:1465
759,P4:1492
760,P4:1709
761,P4:992
762,P4:1736
763,P4:1015
764,P4:796
765,P4:769
766,P4:1493
767,P4:1466
768,P4:6517
769,P4:6497
770,P4:274
771,P4:3345
772,P4:3336
773,P4:2643
774,P4:3332
775,P4:2640
776,P4:3329
777,P4:2638
778,P4:3571
779,P4:2874
780,P4:3574
781,P4:2877
782,P4:3588
783,P4:2891
784,P4:6070
785,P4:248
786,P4:3333
787,P4:153
788,P4:5359
789,P4:5332
790,P4:115
791,P4:4670
792,P4:3330
793,P4:2639
794,P4:4656
795,P4:4679
796,P4:3814
797,P4:3091
798,P4:5341
799,P4:5368
800,P4:6067
801,P4:241
802,P4:3817
803,P4:6046
804,P4:3271
805,P4:3298
806,P4:3579
807,P4:2882
808,P4:5602
809,P4:5575
810,P4:106
811,P4:1239
812,P4:550
813,P4:1212
814,P4:93
815,P4:1022
816,P4:5584
817,P4:5611
818,P4:1743
819,P4:1716
820,P4:3328
821,P4:2637
822,P4:263
823,P4:3331
824,P4:3335
825,P4:2642
826,P4:3572
827,P4:3575
828,P4:3344
829,P4:2650
830,P4:3316
831,P4:3289
832,P4:2875
833,P4:2878
834,P4:1240
835,P4:551
836,P4:1213
837,P4:531
838,P4:3822
839,P4:3097
840,P4:3815
841,P4:3818
842,P4:574
843,P4:79
844,P4:5591
845,P4:273
846,P4:3831
847,P4:1263
848,P4:5618
849,P4:553
850,P4:532
851,P4:5407
852,P4:5410
853,P4:1236
854,P4:4712
855,P4:4454
856,P4:136
857,P4:5592
858,P4:5619
859,P4:5348
860,P4:4686
861,P4:5375
862,P4:91
863,P4:4479
864,P4:1242
865,P4:1215
866,P4:3578
867,P4:2881
868,P4:5349
869,P4:565
870,P4:4921
871,P4:5376
872,P4:4894
873,P4:542
874,P4:4665
875,P4:1254
876,P4:140
877,P4:5124
878,P4:5845
879,P4:5818
880,P4:4687
881,P4:3342
882,P4:2649
883,P4:1227
884,P4:3339
885,P4:2646
886,P4:4663
887,P4:4922
888,P4:3573
889,P4:4895
890,P4:3576
891,P4:571
892,P4:5406
893,P4:564
894,P4:4711
895,P4:5133
896,P4:5110
897,P4:546
898,P4:1260
899,P4:1253
900,P4:5854
901,P4:5827
902,P4:541
903,P4:1233
904,P4:1482
905,P4:785
906,P4:1226
907,P4:1455
908,P4:758
909,P4:3587
910,P4:2890
911,P4:1724
912,P4:5409
913,P4:4447
914,P4:4690
915,P4:3826
916,P4:4713
917,P4:3101
918,P4:1721
919,P4:57
920,P4:562
921,P4:1002
922,P4:539
923,P4:1251
924,P4:4234
925,P4:5398
926,P4:2876
927,P4:3823
928,P4:5401
929,P4:1751
930,P4:1224
931,P4:3098
932,P4:2879
933,P4:199
934,P4:5392
935,P4:5389
936,P4:4698
937,P4:535
938,P4:557
939,P4:3092
940,P4:1748
941,P4:5352
942,P4:1219
943,P4:5351
944,P4:1030
945,P4:1246
946,P4:4705
947,P4:5378
948,P4:3094
949,P4:4708
950,P4:1027
951,P4:4455
952,P4:4261
953,P4:3835
954,P4:1244
955,P4:555
956,P4:1217
957,P4:534
958,P4:1265
959,P4:222
960,P4:3348
961,P4:2653
962,P4:3351
963,P4:185
964,P4:5397
965,P4:4704
966,P4:576
967,P4:3338
968,P4:3341
969,P4:2645
970,P4:2648
971,P4:5391
972,P4:4699
973,P4:5388
974,P4:4697
975,P4:3832
976,P4:1262
977,P4:3105
978,P4:5400
979,P4:257
980,P4:4011
981,P4:1506
982,P4:556
983,P4:85
984,P4:573
985,P4:809
986,P4:1479
987,P4:1238
988,P4:3585
989,P4:3582
990,P4:6302
991,P4:5379
992,P4:1245
993,P4:1218
994,P4:782
995,P4:2888
996,P4:62
997,P4:4707
998,P4:6275
999,P4:2885
1000,P4:4252
1001,P4:4480
1002,P4:1235
1003,P4:6077
1004,P4:6054
1005,P4:548
1006,P4:4456
1007,P4:4471
1008,P4:4237
1009,P4:2897
1010,P4:4225
1011,P4:3594
1012,P4:5594
1013,P4:4020
1014,P4:3997
1015,P4:2894
1016,P4:6305
1017,P4:246
1018,P4:3591
1019,P4:5621
1020,P4:6278
1021,P4:3108
1022,P4:4008
1023,P4:3987
1024,P4:3584
1025,P4:1768
1026,P4:1043
1027,P4:1765
1028,P4:1040
1029,P4:3106
1030,P4:3836
1031,P4:2887
1032,P4:4898
1033,P4:3833
1034,P4:3581
1035,P4:3827
1036,P4:2884
1037,P4:4264
1038,P4:4482
1039,P4:3824
1040,P4:3107
1041,P4:4448
1042,P4:3102
1043,P4:168
1044,P4:4689
1045,P4:4664
1046,P4:3099
1047,P4:3834
1048,P4:3837
1049,P4:4925
1050,P4:6312
1051,P4:6285
1052,P4:4017
1053,P4:3994
1054,P4:4233
1055,P4:4956
1056,P4:4953
1057,P4:5635
1058,P4:4938
1059,P4:5632
1060,P4:4935
1061,P4:4483
1062,P4:5843
1063,P4:5816
1064,P4:5653
1065,P4:5650
1066,P4:2896
1067,P4:6076
1068,P4:6053
1069,P4:3593
1070,P4:1525
1071,P4:828
1072,P4:4260
1073,P4:6079
1074,P4:3350
1075,P4:2654
1076,P4:3347
1077,P4:2652
1078,P4:2893
1079,P4:3590
1080,P4:5595
1081,P4:1247
1082,P4:558
1083,P4:1220
1084,P4:48
1085,P4:1522
1086,P4:825
1087,P4:4955
1088,P4:4952
1089,P4:4473
1090,P4:5634
1091,P4:4937
1092,P4:5631
1093,P4:4934
1094,P4:5652
1095,P4:5649
1096,P4:6056
1097,P4:3825
1098,P4:4947
1099,P4:4944
1100,P4:3828
1101,P4:5641
1102,P4:5644
1103,P4:5622
1104,P4:3816
1105,P4:3100
1106,P4:3103
1107,P4:1725
1108,P4:1004
1109,P4:3819
1110,P4:3821
1111,P4:3096
1112,P4:131
1113,P4:1698
1114,P4:4946
1115,P4:4943
1116,P4:5643
1117,P4:5640
1118,P4:4453
1119,P4:4450
1120,P4:6078
1121,P4:4478
1122,P4:5642
1123,P4:4945
1124,P4:5639
1125,P4:4942
1126,P4:3586
1127,P4:2889
1128,P4:6055
1129,P4:73
1130,P4:570
1131,P4:1534
1132,P4:837
1133,P4:1531
1134,P4:834
1135,P4:3577
1136,P4:2880
1137,P4:137
1138,P4:5122
1139,P4:6308
1140,P4:6281
1141,P4:1259
1142,P4:1232
1143,P4:4255
1144,P4:4460
1145,P4:4439
1146,P4:138
1147,P4:6088
1148,P4:6320
1149,P4:6293
1150,P4:361
1151,P4:243
1152,P4:261
1153,P4:360
1154,P4:277
1155,P4:355
1156,P4:382
1157,P4:307
1158,P4:354
1159,P4:381
1160,P4:198
1161,P4:276
1162,P4:380
1163,P4:306
1164,P4:353
1165,P4:379
1166,P4:352
1167,P4:164
1168,P4:175
1169,P4:181
1170,P4:348
1171,P4:303
1172,P4:347
1173,P4:377
1174,P4:266
1175,P4:346
1176,P4:376
1177,P4:302
1178,P4:345
1179,P4:375
1180,P4:145
1181,P4:207
1182,P4:245
1183,P4:184
1184,P4:216
1185,P4:300
1186,P4:342
1187,P4:373
1188,P4:194
1189,P4:252
1190,P4:299
1191,P4:341
1192,P4:372
1193,P4:129
1194,P4:146
1195,P4:232
1196,P4:340
1197,P4:160
1198,P4:236
1199,P4:287
1200,P4:337
1201,P4:371
1202,P4:147
1203,P4:235
1204,P4:280
1205,P4:336
1206,P4:370
1207,P4:182
1208,P4:267
1209,P4:335
1210,P4:254
1211,P4:334
1212,P4:204
1213,P4:244
1214,P4:282
1215,P4:297
1216,P4:329
1217,P4:368
1218,P4:284
1219,P4:328
1220,P4:367
1221,P4:296
1222,P4:327
1223,P4:366
1224,P4:195
1225,P4:202
1226,P4:239
1227,P4:259
1228,P4:325
1229,P4:250
1230,P4:322
1231,P4:294
1232,P4:321
1233,P4:364
1234,P4:320
1235,P4:363
1236,P4:293
1237,P4:319
1238,P4:362
1239,P4:318
1240,P4:317
1241,P4:315
1242,P4:223
1243,P4:292
1244,P4:314
1245,P4:191
1246,P4:313
1247,P4:233
1248,P4:253
1249,P4:312
1250,P4:224
1251,P4:96
1252,P4:130
1253,P4:144
1254,P4:231
1255,P4:290
1256,P4:310
1257,P4:121
1258,P4:158
1259,P4:260
1260,P4:281
1261,P4:309
1262,P4:1954
1263,P4:2408
1264,P4:2189
1265,P4:1945
1266,P4:2399
1267,P4:2180
1268,P4:1925
1269,P4:2379
1270,P4:2153
1271,P4:1510
1272,P4:3569
1273,P4:5628
1274,P4:1267
1275,P4:3326
1276,P4:5385
1277,P4:2636
1278,P4:4695
1279,P4:577
1280,P4:1971
1281,P4:4030
1282,P4:6089
1283,P4:1753
1284,P4:3812
1285,P4:5871
1286,P4:1031
1287,P4:3090
1288,P4:5149
1289,P4:2425
1290,P4:4484
1291,P4:6543
1292,P4:2872
1293,P4:4931
1294,P4:813
1295,P4:2207
1296,P4:4266
1297,P4:6325
1298,P4:1963
1299,P4:2417
1300,P4:2198
1301,P4:1939
1302,P4:2393
1303,P4:2171
1304,P4:1528
1305,P4:5646
1306,P4:1285
1307,P4:5403
1308,P4:4709
1309,P4:591
1310,P4:1985
1311,P4:4044
1312,P4:6103
1313,P4:1771
1314,P4:5889
1315,P4:1045
1316,P4:5163
1317,P4:2439
1318,P4:4498
1319,P4:6557
1320,P4:4949
1321,P4:831
1322,P4:2225
1323,P4:4284
1324,P4:6343
1325,P4:1931
1326,P4:2385
1327,P4:2162
1328,P4:1519
1329,P4:5637
1330,P4:1276
1331,P4:5394
1332,P4:4701
1333,P4:583
1334,P4:1977
1335,P4:4036
1336,P4:6095
1337,P4:1762
1338,P4:5880
1339,P4:1037
1340,P4:5155
1341,P4:2431
1342,P4:4490
1343,P4:6549
1344,P4:4940
1345,P4:822
1346,P4:2216
1347,P4:4275
1348,P4:6334
1349,P4:1960
1350,P4:2414
1351,P4:2195
1352,P4:1951
1353,P4:2405
1354,P4:2186
1355,P4:1929
1356,P4:2383
1357,P4:2159
1358,P4:1516
1359,P4:1273
1360,P4:581
1361,P4:1975
1362,P4:4034
1363,P4:6093
1364,P4:1759
1365,P4:5877
1366,P4:1035
1367,P4:5153
1368,P4:2429
1369,P4:4488
1370,P4:6547
1371,P4:819
1372,P4:2213
1373,P4:4272
1374,P4:6331
1375,P4:1969
1376,P4:6087
1377,P4:2423
1378,P4:2204
1379,P4:6322
1380,P4:1943
1381,P4:6061
1382,P4:2397
1383,P4:2177
1384,P4:6295
1385,P4:1291
1386,P4:595
1387,P4:1989
1388,P4:4048
1389,P4:6107
1390,P4:1777
1391,P4:5895
1392,P4:1049
1393,P4:5167
1394,P4:2443
1395,P4:4502
1396,P4:6561
1397,P4:2231
1398,P4:4290
1399,P4:6349
1400,P4:1937
1401,P4:2391
1402,P4:2168
1403,P4:1282
1404,P4:589
1405,P4:1983
1406,P4:4042
1407,P4:6101
1408,P4:5886
1409,P4:5161
1410,P4:2437
1411,P4:4496
1412,P4:6555
1413,P4:2222
1414,P4:4281
1415,P4:6340
1416,P4:1948
1417,P4:2402
1418,P4:2183
1419,P4:1927
1420,P4:2381
1421,P4:2156
1422,P4:1513
1423,P4:1270
1424,P4:579
1425,P4:1973
1426,P4:4032
1427,P4:6091
1428,P4:1756
1429,P4:5874
1430,P4:1033
1431,P4:5151
1432,P4:2427
1433,P4:4486
1434,P4:6545
1435,P4:816
1436,P4:2210
1437,P4:4269
1438,P4:6328
1439,P4:1966
1440,P4:2420
1441,P4:2201
1442,P4:1941
1443,P4:2395
1444,P4:2174
1445,P4:1288
1446,P4:593
1447,P4:1987
1448,P4:4046
1449,P4:6105
1450,P4:1774
1451,P4:5892
1452,P4:1047
1453,P4:5165
1454,P4:2441
1455,P4:4500
1456,P4:6559
1457,P4:2228
1458,P4:4287
1459,P4:6346
1460,P4:1934
1461,P4:2388
1462,P4:2165
1463,P4:1279
1464,P4:586
1465,P4:1980
1466,P4:4039
1467,P4:6098
1468,P4:5883
1469,P4:5158
1470,P4:2434
1471,P4:4493
1472,P4:6552
1473,P4:2219
1474,P4:4278
1475,P4:6337
1476,P4:1956
1477,P4:2410
1478,P4:6528
1479,P4:2191
1480,P4:1953
1481,P4:2407
1482,P4:6525
1483,P4:2188
1484,P4:1944
1485,P4:2398
1486,P4:4457
1487,P4:6516
1488,P4:2179
1489,P4:2152
1490,P4:1509
1491,P4:3568
1492,P4:5627
1493,P4:1266
1494,P4:3325
1495,P4:5384
1496,P4:1752
1497,P4:3811
1498,P4:5870
1499,P4:2871
1500,P4:4930
1501,P4:812
1502,P4:2206
1503,P4:4265
1504,P4:6324
1505,P4:1962
1506,P4:2416
1507,P4:6534
1508,P4:2197
1509,P4:2170
1510,P4:1527
1511,P4:5645
1512,P4:1284
1513,P4:5402
1514,P4:1770
1515,P4:3829
1516,P4:5888
1517,P4:4948
1518,P4:830
1519,P4:2224
1520,P4:4283
1521,P4:6342
1522,P4:1930
1523,P4:2384
1524,P4:6502
1525,P4:2161
1526,P4:1518
1527,P4:5636
1528,P4:1275
1529,P4:3334
1530,P4:5393
1531,P4:2641
1532,P4:4700
1533,P4:582
1534,P4:1976
1535,P4:4035
1536,P4:6094
1537,P4:1761
1538,P4:3820
1539,P4:5879
1540,P4:1036
1541,P4:3095
1542,P4:5154
1543,P4:2430
1544,P4:4489
1545,P4:6548
1546,P4:4939
1547,P4:821
1548,P4:2215
1549,P4:4274
1550,P4:6333
1551,P4:1959
1552,P4:2413
1553,P4:6531
1554,P4:2194
1555,P4:1950
1556,P4:2404
1557,P4:6522
1558,P4:2185
1559,P4:2158
1560,P4:1515
1561,P4:5633
1562,P4:1272
1563,P4:5390
1564,P4:1758
1565,P4:5876
1566,P4:4936
1567,P4:818
1568,P4:2212
1569,P4:4271
1570,P4:6330
1571,P4:1968
1572,P4:6086
1573,P4:2422
1574,P4:6540
1575,P4:2203
1576,P4:6321
1577,P4:2176
1578,P4:6294
1579,P4:5651
1580,P4:1290
1581,P4:5408
1582,P4:1776
1583,P4:5894
1584,P4:4954
1585,P4:2230
1586,P4:4289
1587,P4:6348
1588,P4:1936
1589,P4:2390
1590,P4:6508
1591,P4:2167
1592,P4:1281
1593,P4:5399
1594,P4:4706
1595,P4:588
1596,P4:1982
1597,P4:4041
1598,P4:6100
1599,P4:1767
1600,P4:5885
1601,P4:1042
1602,P4:5160
1603,P4:2436
1604,P4:4495
1605,P4:6554
1606,P4:2221
1607,P4:4280
1608,P4:6339
1609,P4:1947
1610,P4:2401
1611,P4:6519
1612,P4:2182
1613,P4:1926
1614,P4:2380
1615,P4:6498
1616,P4:2155
1617,P4:1512
1618,P4:5630
1619,P4:1269
1620,P4:5387
1621,P4:4696
1622,P4:578
1623,P4:1972
1624,P4:4031
1625,P4:6090
1626,P4:1755
1627,P4:5873
1628,P4:1032
1629,P4:5150
1630,P4:2426
1631,P4:4485
1632,P4:6544
1633,P4:4933
1634,P4:815
1635,P4:2209
1636,P4:4268
1637,P4:6327
1638,P4:1965
1639,P4:2419
1640,P4:6537
1641,P4:2200
1642,P4:1940
1643,P4:2394
1644,P4:6512
1645,P4:2173
1646,P4:5648
1647,P4:1287
1648,P4:5405
1649,P4:4710
1650,P4:592
1651,P4:1986
1652,P4:4045
1653,P4:6104
1654,P4:1773
1655,P4:5891
1656,P4:1046
1657,P4:5164
1658,P4:2440
1659,P4:4499
1660,P4:6558
1661,P4:4951
1662,P4:2227
1663,P4:4286
1664,P4:6345
1665,P4:1933
1666,P4:2387
1667,P4:6505
1668,P4:2164
1669,P4:1278
1670,P4:5396
1671,P4:4703
1672,P4:585
1673,P4:1979
1674,P4:4038
1675,P4:6097
1676,P4:1764
1677,P4:5882
1678,P4:1039
1679,P4:5157
1680,P4:2433
1681,P4:4492
1682,P4:6551
1683,P4:2218
1684,P4:4277
1685,P4:6336
1686,P4:1958
1687,P4:2412
1688,P4:2193
1689,P4:1955
1690,P4:6073
1691,P4:2409
1692,P4:6527
1693,P4:2190
1694,P4:1946
1695,P4:4005
1696,P4:6064
