,feature_name,marker_definition,parent_population,en_betas,p_1
43,P2:1406,25+38+39-73-127+PD1-RO-,CD4,0.0,0.94
44,P1:10959,31-127-244+,CD8,0.0,0.450151
45,P2:23956,73-127-DR+PD1+,DPT,-0.0,0.298996
46,P4:5526,314+334-,56+16-,0.0,0.755618
47,P7 Mono:6050,11c+16-64-123+141-274+DR+,Monocytes,-0.0,0.11709
48,P3:4661,161+PD1-R10-XR3-XR5-,CD8/Memory,-0.0,0.196351
49,P2:4836,25-38+39+127-PD1+,CD4,0.0,0.777737
50,P3:7877,161-PD1-R10-XR3+,CD8/Naive,0.0,0.107466
51,P1:12804,27+31+57+95-127+RA+,CD8,-0.0,0.148129
52,P4:3301,CD2-334-158a+158b-,16+56,-0.0,0.178155
53,P4:92,2-314+334+337-158a+158b+R7-,56+16-,-0.0,0.265609
54,P7 Mono:3503,11c+16+32+123+,Monocytes,-0.0,0.990965
55,P1:20223,27-28-31+57+95-244-RA-,DPT,0.0,0.61358
56,P7 Mono:5859,16+123+141+DR+,Monocytes,-0.0,0.0651684
57,P1:6795,27+28-57+127-244+RA+,CD4,-0.0,0.613138
58,P2:23322,25-38-39-DR+,DPT,0.0,0.668557
59,P3:3050,161+R4-R10-XR3+XR5-,CD4/Naive,0.0,0.387342
60,P2:23037,25-73+127-,DPT,0.0,0.719831
61,P2:13623,25+38-73+127+DR+PD1+RO+,CD8,0.0,0.895198
62,P2:8067,25-38-39+73+127-DR-RO-,CD8,-0.0,0.304441
63,P2:8275,38-127-RO-,CD8,-0.0,0.980482
64,P2:6847,25+38+127+DR-PD1+RO+,CD4,-0.0,0.714316
65,P2:23872,38-73-127+PD1+,DPT,0.0,0.435981
66,P2:11993,25+38+127+PD1-RO+,CD8,-0.0,0.290155
67,P3:733,161-PD1-R6-R10-XR5-,CD4/Memory,-0.0,0.547213
68,P7 Mono:5383,11c+16+32+123+141-DR+,Monocytes,-0.0,0.296487
69,P1:2401,27-28-57+95+127+RA-,CD4,0.0,0.144843
70,P7 Mono:4687,16-32+123+141-274-DR+,Monocytes,-0.0,0.342584
71,P2:20471,25-73-DR+PD1-RO-,DPT,-0.0,0.778183
72,P2:25448,25-39-DR+RO+,DPT,-0.0,0.27656
73,P1:24906,28-31-57+95-127-RA+,DPT,0.0,0.142099
74,P1:7372,27+31+95-127-244-RA-,CD8,0.0,0.280073
75,P2:22235,25+38-39+73+127+DR-PD1-,DPT,-0.0,0.255731
76,P2:24390,38+73+127+DR-PD1-RO+,DPT,0.0,0.352619
77,P2:23553,25-38+73-DR-PD1+,DPT,0.0,0.578137
78,P6:93,20-24-,CD10-/CD95+/IgA-IgG-/IgAGDM-,-0.0,0.630278
79,P4:4114,CD2+314-337+158a-R7+,16+56,0.0,0.0841061
80,P2:1029,38+39-73-127-DR-PD1-RO-,CD4,-0.0,0.557182
81,P2:12572,38+39-73-RO+,CD8,-0.0,0.0339439
82,P1:22230,27-28+57+95+127-244-,DPT,-0.0,0.178604
83,P7 Mono:1559,16+64+141+DR-,Monocytes,-0.0,0.293932
84,P1:2382,27+28+95+127+RA-,CD4,0.0,0.673364
85,P5 gd:912,8-RA+R5-R7-,Vg9+/Vd2Hi,-0.0,0.268019
86,P5 gd:621,27-28-RA+R5+,CD3 T/VD1,0.0,0.858501
87,P2:4306,38+39-73-127-DR+,CD4,0.0,0.7098
88,P2:9829,25+38+39-127+PD1-,CD8,-0.0,0.166973
89,P5 gd:576,27-RA-R5+,CD3 T/VD1,-0.0,0.706524
90,P1:9880,27+31-57-95-127+244-,CD8,0.0,0.113646
91,P2:25220,25-38-39+RO+,DPT,-0.0,0.175507
92,P2:9366,25+39+127+DR+PD1+RO-,CD8,-0.0,0.224749
93,P3:3567,161-PD1+R4-R6-,CD4/Naive,0.0,0.636449
94,P3:1960,161+PD1-R6+R10-XR3-XR5+,CD4/Memory,0.0,0.960446
95,P3:8458,PD1-R4-R6-R10+XR5+,CD8/Naive,0.0,0.763462
96,P4:4797,CD2+314-334-337-R7-,56+16-,0.0,0.0129635
97,P1:24444,27+28-31+95-244-RA+,DPT,-0.0,0.842285
98,P4:3694,CD2-314-334+337-158b+,16+56,-0.0,0.239938
99,P1:835,27+28+31-57-95-127+244+RA-,CD4,0.0,0.722211
100,P1:3100,28+57-95-127-244-,CD4,-0.0,0.713508
101,P1:10728,28+127+,CD8,0.0,0.720245
102,P2:7927,25-38+39+73+DR+PD1-RO-,CD8,-0.0,0.82913
103,P1:3052,27+95+127+244+RA-,CD4,0.0,0.843688
104,P2:7545,39-73-127-PD1-RO-,CD8,0.0,0.762655
105,P1:9941,27-57+95-127+244-,CD8,-0.0,0.711031
106,P3:3288,161-PD1+R4+R10-XR3-,CD4/Naive,-0.0,0.973267
107,P2:6757,25-38-39-DR-PD1+RO+,CD4,0.0,0.46526
108,P1:23575,28-127-244+,DPT,0.0,0.0887417
109,P2:8976,25+127-PD1+RO-,CD8,-0.0,0.0773402
110,P1:23523,27-57+95-127-244+,DPT,0.0,0.297516
111,P2:3567,25-38+39+73+127+PD1-,CD4,-0.0,0.364033
112,P7 Mono:4204,16+32+64-123+274+,Monocytes,0.0,0.130083
113,P2:24431,38+39-127-PD1-RO+,DPT,-0.0,0.351429
114,P1:25792,28-31-57-95-244+RA+,DPT,0.0,0.732071
115,P1:3723,27-28-31+57+127+244-,CD4,0.0,0.288273
116,P2:12814,25-38+39-73-DR+RO+,CD8,-0.0,0.312445
117,P2:224,25-38-39+73+127-DR-PD1-RO-,DPT,0.0,0.0505503
118,P7 Mono:1654,11c+32-64-123-141-274+DR-,Monocytes,0.0,0.0203687
119,P2:2092,25-38+39+73+RO-,CD4,-0.0,0.616193
120,P7 Mono:5567,11c-32+64+DR+,Monocytes,-0.0,0.117541
121,P2:21052,25-38+127+RO-,DPT,0.0,0.406633
122,P2:4857,25-38-39+73+127-PD1+,CD4,0.0,0.438032
123,P1:6632,27-31+95+127+RA+,CD4,-0.0,0.857797
124,P1:12846,27+28-127+RA+,CD8,0.0,0.442887
125,P2:949,25+38+39-73+127+DR+PD1-RO-,CD4,-0.0,0.193263
126,P2:3796,38-73+127+DR+PD1-,CD4,-0.0,0.730181
127,P1:3679,28-31-127+244-,CD4,0.0,0.872241
128,P1:12038,27-57-95-127+244-RA+,CD8,0.0,0.188062
129,P1:23359,28-57+127+,DPT,0.0,0.0269072
130,P3:6573,161+PD1-R4-XR3+XR5+,CD8/Memory,-0.0,0.773597
131,P4:4441,CD2+334-337-158a+158b+R7+,16+56,-0.0,0.156407
132,P1:23852,27+28+57+244+,DPT,-0.0,0.189586
133,P1:20706,27+28-31+57-127-RA-,DPT,0.0,0.126855
134,P4:4837,CD2-314+R7-,56+16-,-0.0,0.0718602
135,P1:21689,27-28-57+244+RA-,DPT,0.0,0.0537903
136,P2:8965,25-39-127-PD1+RO-,CD8,-0.0,0.0728056
137,P5 gd:1620,8+28-R7-,Vg9+/Vd2Low,0.0,0.071154
138,P4:5749,CD2+337-158b+,56+16-,-0.0,0.305424
139,P2:9451,25+38+39-73+127-DR-PD1-,CD8,-0.0,0.415658
140,P2:8674,39-127+DR+RO-,CD8,0.0,0.667511
141,P3:1869,PD1+R10+XR3+,CD4/Memory,0.0,0.487407
142,P7 Mono:3599,11c+64+123-141+,Monocytes,-0.0,0.447354
143,P4:3027,314-337+158b+R7-,16+56,-0.0,0.191224
144,P2:22228,73+127+DR-PD1-,DPT,0.0,0.25938
145,P4:5590,CD2+314+337-158a+,56+16-,0.0,0.11225
146,P2:7275,25+73-127+DR+PD1+RO+,CD4,0.0,0.274186
147,P1:8724,28-31-57-95-127-244+RA-,CD8,-0.0,0.981737
148,P2:1644,25-38-39-127+DR+PD1-RO-,CD4,0.0,0.930243
149,P1:22315,28-31+57+95-244-,DPT,-0.0,0.798005
150,P2:2053,25-RO-,CD4,-0.0,0.870578
151,P1:2000,57+95-RA-,CD4,0.0,0.23554
152,P7 Mono:4182,11c-32-64-123+274+,Monocytes,0.0,0.8036
153,P2:5502,25+38-39+73-127-PD1-RO+,CD4,-0.0,0.447332
154,P1:20821,27-28-31-57+95+127-RA-,DPT,0.0,0.193361
155,P2:7450,38-39-73+DR-PD1-RO-,CD8,0.0,0.146344
156,P2:8506,38+39+73-127-DR+RO-,CD8,-0.0,0.0958478
157,P1:6828,27+31+57-95+127-244+RA+,CD4,-0.0,0.384229
158,P4:4731,CD2+314+337-158a-R7-,56+16-,-0.0,0.477192
159,P1:22692,27-28-31+95+127+244-,DPT,0.0,0.800954
160,P1:9538,27+57+127-244-,CD8,-0.0,0.016348
161,P3:5278,161-R4-R6+R10+XR3+XR5-,CD8/Memory,0.0,0.917567
162,P1:10793,27-28-31-95+127+,CD8,0.0,0.53224
163,MFI:404,CD28 Cy5 PE,Lymphs/CD3 T/Vg9+/Vd2Hi/28,-0.0,0.116697
164,P2:489,25-38-39+73+127-DR-PD1+RO+,CD4,0.0,0.377639
165,P3:1665,PD1-R4-R6-R10-XR3+,CD4/Memory,0.0,0.0968919
166,P1:1707,27+28+57-95-127-RA-,CD4,-0.0,0.881448
167,P2:12254,73-127-DR-RO+,CD8,-0.0,0.42832
168,P2:24725,25+38-39+73-DR+PD1-RO+,DPT,-0.0,0.195031
169,P2:3175,38-73-DR-PD1-,CD4,-0.0,0.275432
170,P1:6343,27+28-31-57-95+RA+,CD4,-0.0,0.974741
171,P5 gd:329,8+27+RA+R7-,CD3 T/VD1,0.0,0.591667
172,P2:12775,25-39+127-DR+RO+,CD8,-0.0,0.580401
173,P4:4060,CD2+314-337-158a-R7+,16+56,-0.0,0.457425
174,P3:4059,PD1-R4-XR3-XR5+,CD4/Naive,0.0,0.28984
175,P2:7762,25+39-73+127+PD1-RO-,CD8,-0.0,0.188533
176,P2:24691,25-38-73+127-DR+PD1-RO+,DPT,-0.0,0.424355
177,P3:6000,161+PD1-R4-R6+R10+XR3+,CD8/Memory,0.0,0.0749939
178,P1:8239,28-31-57-95-RA-,CD8,-0.0,0.982976
179,P5 gd:601,8+27+28-R5+,CD3 T/VD1,-0.0,0.606745
180,P7 Mono:2995,32-123+141+274-,Monocytes,-0.0,0.0577645
181,P2:10351,25+38+73+127+DR-,CD8,-0.0,0.5708
182,P1:6643,27+31-57+95+127+RA+,CD4,-0.0,0.703284
183,P5 gd:1261,8-28-R5+,Vg9+/Vd2Hi,0.0,0.574226
184,P2:24072,25-39+DR+PD1+,DPT,-0.0,0.038547
185,P1:3107,27+31+57-95-127-244-,CD4,-0.0,0.395762
186,P1:281,27+28-31-57+95-127-244+RA+,DPT,0.0,0.364302
187,P5 gd:211,27+28+RA-R5-R7-,CD3 T/VD1,0.0,0.133187
188,P3:2194,R4+R6+R10-XR5+,CD4/Memory,0.0,0.690008
189,P1:25356,28-31+57-95-127+RA+,DPT,-0.0,0.740042
190,P1:12953,28-57+95+127+RA+,CD8,0.0,0.197046
191,P7 Mono:1782,11c-64+141-274+DR-,Monocytes,-0.0,0.406296
192,P3:4272,161+R6-XR5+,CD4/Naive,0.0,0.764241
193,P7 Mono:1308,11c+16+32-64+DR-,Monocytes,-0.0,0.559893
194,P1:7781,27-28+31+57+95+244-RA-,CD8,-0.0,0.151909
195,P3:7182,PD1-R4+R10-XR3+XR5-,CD8/Naive,0.0,0.069403
196,MFI:170,CD5 H7 APC,Lymphs/B cells/CD10-/CD95+/IgA-IgG-/IgM+/27+,0.0,0.785299
197,P2:6585,38-39-73-127+DR+RO+,CD4,0.0,0.808013
198,P4:3103,CD2+314+337+158a+158b+R7-,16+56,-0.0,0.764349
199,P2:22693,38-39+127+DR+PD1-,DPT,-0.0,0.246595
200,P3:5991,161+PD1-R4+R10+XR3+,CD8/Memory,0.0,0.566405
201,P3:2649,161-R6-XR3-XR5-,CD4/Naive,-0.0,0.269697
202,P2:26219,25+38-39+127+DR+PD1+RO+,DPT,0.0,0.92391
203,P5 gd:1959,8-27-RA+R5+,Vg9+/Vd2Low,0.0,0.632437
204,P7 Mono:2314,11c+32+64+123+141+274+DR-,Monocytes,-0.0,0.304055
205,P1:7250,27-57+127+244+RA+,CD4,0.0,0.0195323
206,P7 Mono:60,11c+16+32+64+123-141+274+DR+,Monocytes,-0.0,0.383587
207,P3:5621,PD1-R4-R6-,CD8/Memory,0.0,0.731658
208,P2:7979,25+39-73+127+DR+PD1-RO-,CD8,-0.0,0.988218
209,P4:2629,CD2+314-334+158a+158b-R7-,16+56,-0.0,0.192025
210,P1:12381,27+31-57+127-RA+,CD8,-0.0,0.886837
211,P3:1544,161-PD1+,CD4/Memory,0.0,0.215843
212,P1:3007,27-28+57+127+244+RA-,CD4,-0.0,0.576997
213,P2:11305,25+38+39+127+PD1+,CD8,-0.0,0.745262
214,P7 Mono:3227,11c+16-32+64-123+141-,Monocytes,0.0,0.977026
215,P3:6447,R4+R10+XR5+,CD8/Memory,0.0,0.174675
216,P3:6386,161-PD1+R6+XR5+,CD8/Memory,0.0,0.738692
217,P6 earlyB:128,24-5-,IgA-IgG-,-0.0,0.122681
218,P3:6636,161-PD1+R6-R10+XR3+XR5+,CD8/Memory,0.0,0.0167077
219,P4:5726,CD2-314-334+337+158a-158b+,56+16-,0.0,0.362665
220,P3:1670,161-PD1+R4-R6-R10-XR3+,CD4/Memory,0.0,0.189191
221,P1:23192,27+31-57+95+,DPT,0.0,0.900065
222,P2:1175,38+39-73-127+DR-PD1-RO-,CD4,0.0,0.4865
223,P1:8775,27-28-57+95-127-244+RA-,CD8,-0.0,0.526432
224,P1:21093,27+28-31-57-95-127+RA-,DPT,0.0,0.0704027
225,P4:6195,CD2-314+334-337-R7+,56+16-,-0.0,0.832214
226,P3:7544,161-PD1-R4-R10+XR3-,CD8/Naive,-0.0,0.566697
227,P2:11914,38-39+PD1-RO+,CD8,-0.0,0.549291
228,P2:9693,38+39-73+127-PD1-,CD8,-0.0,0.828837
229,P3:2499,PD1-R4+R6+XR3+XR5+,CD4/Memory,0.0,0.429207
230,P4:6057,314-334+337-158a+158b-R7+,56+16-,0.0,0.637115
231,P1:278,27-28-31-57-95-127+244-RA-,DPT,-0.0,0.0832607
232,P2:6929,25+38+39+127-PD1+RO+,CD4,-0.0,0.794087
233,P4:5821,CD2+334-337-158a+158b+,56+16-,-0.0,0.951673
234,P1:5645,28-31-57-95+244-RA+,CD4,-0.0,0.905202
235,P2:4382,25+38-39-73-DR+,CD4,0.0,0.746041
236,P1:7237,27+28+31+127+244+RA+,CD4,-0.0,0.726115
237,P2:7217,25-38+39-DR+PD1+RO+,CD4,-0.0,0.355604
238,P2:7960,25+38-127+DR+PD1-RO-,CD8,-0.0,0.496572
239,P2:901,25+38+39-73-127-DR-PD1+RO-,CD8,-0.0,0.272148
240,P2:21910,25-39-73+DR+PD1+RO-,DPT,0.0,0.673025
241,P3:2218,PD1-R4+R6-XR5+,CD4/Memory,0.0,0.574599
242,P4:4856,314+334-337+R7-,56+16-,-0.0,0.0239078
243,P2:5309,38-39+127-DR-PD1-RO+,CD4,-0.0,0.93049
244,P4:3582,CD2+337+158a+,16+56,0.0,0.362402
245,P7 Mono:1721,11c+32-64-141-274+DR-,Monocytes,0.0,0.0288196
246,P1:10210,27+28-57-127-,CD8,-0.0,0.215281
247,P1:2925,28-57+95-127+244+RA-,CD4,0.0,0.187883
248,P3:6894,PD1+R6+R10+XR3-XR5-,CD8/Naive,-0.0,0.724608
249,P4:4918,CD2-314+158a+R7-,56+16-,-0.0,0.514811
250,P3:7789,161+PD1-R4-R10+,CD8/Naive,0.0,0.786
251,P2:289,25-38-39+73-127-DR-PD1+RO-,DPT,-0.0,0.919483
252,P2:9768,38-39-73+PD1-,CD8,0.0,0.22585
253,P1:19979,27+28-31+95-127-244-RA-,DPT,-0.0,0.156242
254,P4:3903,CD2-314-334-337-158b-R7+,16+56,-0.0,0.162927
255,P1:4694,27+28+57+127-244+,CD4,-0.0,0.452435
256,P2:4152,25-38+73-,CD4,0.0,0.637593
257,P3:4081,161+R4+XR3-XR5+,CD4/Naive,-0.0,0.814171
258,P1:12313,27-28-31+57+95-127-RA+,CD8,-0.0,0.0687461
259,P1:22519,28+31-95-127+244-,DPT,-0.0,0.574439
260,P1:4729,28+31+57-95+127-244+,CD4,-0.0,0.740673
261,P1:4438,31-57+127+,CD4,0.0,0.0546455
262,P1:25302,28-31+95+RA+,DPT,-0.0,0.876177
263,P1:10260,28+31-57+127-,CD8,-0.0,0.913351
264,P1:12037,27+28-57-95-127+244-RA+,CD8,0.0,0.0968923
265,P2:10836,38+73+127+DR+,CD8,-0.0,0.690443
266,P7 Mono:5014,11c-16+64+123-141+274-DR+,Monocytes,-0.0,0.543959
267,P1:1830,27+31-57+127-RA-,CD4,0.0,0.72242
268,P1:5548,27-57+95-244-RA+,CD4,0.0,0.593107
269,P3:2655,161-PD1-R4+R6-XR3-XR5-,CD4/Naive,0.0,0.219437
270,P4:5419,CD2+314+334-337-158a-,56+16-,0.0,0.263724
271,P5 gd:599,8-27+28-R5+,CD3 T/VD1,-0.0,0.764311
272,P3:7939,161+PD1+R6-XR3+,CD8/Naive,-0.0,0.435758
273,P2:9275,25+39-DR+PD1+RO-,CD8,-0.0,0.929039
274,P1:9365,31+95+127+244+RA-,CD8,-0.0,0.453249
275,P7 Mono:5548,11c+16-32-64+DR+,Monocytes,-0.0,0.181404
276,P3:8310,161-PD1+R6-R10-XR5+,CD8/Naive,-0.0,0.296828
277,P2:21761,25-38-39-73+127+PD1+RO-,DPT,0.0,0.565074
278,P1:2108,57-95+RA-,CD4,-0.0,0.82755
279,P1:12734,28+31-57-95-127+RA+,CD8,0.0,0.120571
280,P3:8019,PD1+R6-R10+XR3+,CD8/Naive,-0.0,0.925704
281,P2:12169,25+38-39+73+DR+PD1-RO+,CD8,0.0,0.418452
282,P2:1329,25-73-PD1-RO-,CD4,-0.0,0.698054
283,MFI:40,HLA-DR Ax680,Lin-DR+/14-/11c+ (nodim)/1c+/CD64,-0.0,0.151768
284,P1:6012,31+57+95-127-RA+,CD4,-0.0,0.983581
285,P3:5802,161+PD1-R4+R6-R10-XR3+,CD8/Memory,0.0,0.222271
286,P1:4098,27-28+95-,CD4,0.0,0.135127
287,P2:25137,38+127-RO+,DPT,-0.0,0.866805
288,P2:21828,25-39+127-DR+PD1+RO-,DPT,0.0,0.608361
289,P5 gd:3,8-27-28+RA-R5+R7-,Vg9+/Vd2Low,-0.0,0.834901
290,P1:11012,27-31-57-95+127-244+,CD8,0.0,0.637135
291,P2:12850,25-38+DR+RO+,CD8,-0.0,0.266022
292,P2:11719,25-38+39+73+DR-PD1-RO+,CD8,0.0,0.915336
293,P2:7966,25+38+127+DR+PD1-RO-,CD8,-0.0,0.152495
294,P2:9963,38+39-73-DR+PD1-,CD8,-0.0,0.965337
295,P7 Mono:2865,11c-16-64+123-141+274-,Monocytes,-0.0,0.105044
296,P7 Mono:5246,11c-16+32+64+123-141-DR+,Monocytes,-0.0,0.0149829
297,P3:3990,161+R4-R10-XR3-XR5+,CD4/Naive,0.0,0.765598
298,P1:11129,27-95-244+,CD8,-0.0,0.138173
299,P1:7963,27+95+127+244-RA-,CD8,-0.0,0.161153
300,P7 Mono:4207,16-32-123+274+,Monocytes,-0.0,0.0282417
301,P2:23358,25-38-73+DR+,DPT,-0.0,0.24169
302,P2:25212,38-RO+,DPT,-0.0,0.315502
303,P2:11459,25-38-39+DR+PD1+,CD8,-0.0,0.741301
304,P7 Mono:6498,11c-32-64-123+141+274+DR+,Monocytes,0.0,0.0817218
305,P2:9136,25-127+PD1+RO-,CD8,-0.0,0.316283
306,P2:9729,38+73-PD1-,CD8,-0.0,0.360666
307,P1:10132,27+57-95-127-,CD8,0.0,0.829346
308,P1:3059,27-31+95+127+244+RA-,CD4,-0.0,0.929984
309,P7 Mono:4193,11c+64-123+274+,Monocytes,0.0,0.324047
310,P2:6743,73-DR-PD1+RO+,CD4,0.0,0.610636
311,P4:5436,314+334+337-158a-,56+16-,-0.0,0.209197
312,P1:1271,27+28+31-95-244-RA-,CD4,0.0,0.656774
313,P1:12936,27+28-31+95+127+RA+,CD8,-0.0,0.584326
314,P2:1173,39-73-127+DR-PD1-RO-,CD4,-0.0,0.814067
315,P7 Mono:6147,11c-123-274+DR+,Monocytes,0.0,0.485213
316,P1:25084,27+28+57+95+127-RA+,DPT,-0.0,0.297742
317,P2:21222,25+39+DR+RO-,DPT,0.0,0.824748
318,P2:4453,38-39+73+DR+,CD4,0.0,0.951368
319,P1:26132,27-28+31-127+244+RA+,DPT,0.0,0.12185
320,P1:12184,27-57-95+127+244-RA+,CD8,-0.0,0.303717
321,P1:5887,31+57-95+127+244-RA+,CD4,-0.0,0.50356
322,P2:25885,73-PD1+RO+,DPT,0.0,0.348437
323,P6:250,38+,B cells/CD10-/CD95+/IgA,0.0,0.460887
324,P2:7577,25-38-127-PD1-RO-,CD8,0.0,0.63793
325,P5 gd:423,27-28+RA-R5-,CD3 T/VD1,-0.0,0.933598
326,P1:9939,28-57+95-127+244-,CD8,-0.0,0.200837
327,P1:22016,27+28+57-95-127-244-,DPT,0.0,0.965159
328,P1:6137,27-95+127-RA+,CD4,0.0,0.403323
329,P2:6943,73+127-PD1+RO+,CD4,0.0,0.324202
330,P1:3782,27+31+95+127+244-,CD4,0.0,0.399419
331,P2:8676,25-38+39-127+DR+RO-,CD8,-0.0,0.515147
332,P7 Mono:2554,32+64+123+141-274-,Monocytes,-0.0,0.701962
333,P1:7927,27-28+31+57+127+244-RA-,CD8,-0.0,0.376538
334,P2:26232,38-73+127+DR+PD1+RO+,DPT,0.0,0.928167
335,P2:22546,38+39-73+127-DR+PD1-,DPT,-0.0,0.0681385
336,P1:20633,28-31-95-127-RA-,DPT,-0.0,0.407828
337,P2:10534,25+38-73-127+,CD8,-0.0,0.0642906
338,P2:2368,25-39-127+DR+RO-,CD4,-0.0,0.972269
339,P2:21404,25+39-73-DR-PD1+RO-,DPT,-0.0,0.556805
340,P3:8175,161+PD1+R4+R6-XR3-XR5+,CD8/Naive,-0.0,0.185282
341,P3:736,161-R6-R10-XR5-,CD4/Memory,-0.0,0.815923
342,P1:11233,27+28+31-57+244+,CD8,-0.0,0.825505
343,P2:4910,25+38+PD1+,CD4,0.0,0.7829
344,P2:22058,25+39-73+127-DR-PD1-,DPT,-0.0,0.108581
345,P3:5031,161-PD1-R4-R10+XR5-,CD8/Memory,0.0,0.528453
346,P5 gd:1332,27-28-R5-R7+,Vg9+/Vd2Hi,0.0,0.262424
347,P2:6522,38-39+73-DR+RO+,CD4,0.0,0.161982
348,P3:7832,161-PD1-R4+R6+R10+,CD8/Naive,0.0,0.14606
349,P2:10962,38+39-DR-PD1+,CD8,-0.0,0.0425218
350,MFI:227,CD10 APC,Lymphs/B cells/Immature,-0.0,0.282504
351,P1:9881,27-28+31-57-95-127+244-,CD8,0.0,0.115819
352,P2:26235,73+127+DR+PD1+RO+,DPT,-0.0,0.258413
353,P3:6090,161-PD1-R4-R6-XR3-XR5+,CD8/Memory,0.0,0.883433
354,P1:25511,27-57-95+127+RA+,DPT,0.0,0.373506
355,P2:20853,25+39-73-127-RO-,DPT,-0.0,0.0335034
356,P3:7397,161-PD1+R10-XR3-,CD8/Naive,-0.0,0.0136035
357,P2:1964,39-127-RO-,CD4,-0.0,0.733569
358,P2:23722,39+73-127-PD1+,DPT,-0.0,0.0864837
359,P7 Mono:2416,16-32+64-141-274-,Monocytes,0.0,0.584794
360,P3:1763,161-PD1-R4+R6-XR3+,CD4/Memory,0.0,0.18884
361,P1:4745,27+95+127-244+,CD4,-0.0,0.935256
362,P1:9264,27-31+57-127+244+RA-,CD8,-0.0,0.83248
363,P2:13288,25+38+39+73-PD1+RO+,CD8,-0.0,0.180084
364,P1:7778,27-31+57+95+244-RA-,CD8,-0.0,0.561697
365,P2:2611,38-39-73+127+DR-PD1+RO-,CD4,-0.0,0.507913
366,P1:23075,27+31+57-,DPT,0.0,0.995703
367,P2:9341,25+39+73-127+DR+PD1+RO-,CD8,-0.0,0.384435
368,P1:21244,27-28-31+57+127+RA-,DPT,0.0,0.135865
369,P2:13527,25+38-DR+PD1+RO+,CD8,0.0,0.939545
370,P5 gd:1331,8-27-28-R5-R7+,Vg9+/Vd2Hi,0.0,0.269936
371,P1:9375,27-28-57+95+127+244+RA-,CD8,0.0,0.380678
372,P1:25828,28-95-244+RA+,DPT,0.0,0.434709
373,P2:12125,25-39-DR+PD1-RO+,CD8,-0.0,0.560657
374,P2:20613,25+38+39-73-127-DR-RO-,DPT,-0.0,0.0921911
