,phenotype_id,marker_definition,parent_population,weights,abs_weights
43,P5 gd:1934,8+27-R5+,Vg9+/Vd2Low,0.002306454525388,0.002306454525388
4,P5 CD8:148,27+RA+,CD8,0.0015541658674303,0.0015541658674303
9,P3:856,161-PD1+R4+XR5-,CD4/Memory,0.0010303513865424,0.0010303513865424
58,P4:3808,CD2-314+334+158a+158b+,16+56,-0.0008299132186609,0.0008299132186609
8,P2:25272,38+73-127+RO+,DPT,-0.0006814885134785,0.0006814885134785
57,P2:22358,25+38+39-PD1-,DPT,-0.0006218000761437,0.0006218000761437
86,P5 gd:459,27-28-RA+R5-,CD3 T/VD1,-0.0005124262985758,0.0005124262985758
53,P4:6131,CD2+334+337-158a-R7+,56+16-,0.000449481011598,0.000449481011598
68,P4:6000,CD2+314-158b-R7+,56+16-,0.0004303615537621,0.0004303615537621
22,P3:5660,*,CD8/Memory,-0.0004010156530751,0.0004010156530751
2,P4:5927,CD2+314-158a-158b-R7+,56+16-,0.0003604754828608,0.0003604754828608
54,P1:24828,27+31+95+127+244-RA+,DPT,-0.0002526555044068,0.0002526555044068
44,P7 Mono:5604,32-123+DR+,Monocytes,-1.864438924207493e-05,1.864438924207493e-05
87,P7 Mono:3872,11c+16+64-141-274+,Monocytes,6.900198358261133e-06,6.900198358261133e-06
